English,Chinese
Ratedeck updated successfully!,Ratedeck已成功更新！
Ratedeck added successfully!,Ratedeck成功添加！
Ratedeck removed successfully!,Ratedeck已成功删除！
Duplicate Ratedeck Number found from import file.,从导入文件中找到重复的Ratedeck编号。
Ratedeck Imported Successfully!,Ratedeck成功导入！
Ratedeck Import Error,Ratedeck导入错误
Back to Ratedeck List,返回Ratedeck列表
Origination Rate Imported Successfully!,原始进口成功率！
Origination Rate Updated Successfully!,成功率已成功更新！
Origination Rate Added Successfully!,成功增加了起始率！
Termination Rates Batch Updated Successfully!,终止率批量更新成功！
Map CSV to Termination Rates,将CSV映射到终止费率
Data Example,数据示例
Map to Field,映射到字段
PREFIX/DEFAULT VALUE,PREFIX / DEFAULT VALUE
ASTPP Field,ASTPP领域
Created,创建
Modified,改性
You can not create,你无法创造
Refill coupon with,补充优惠券
You can create maximum,您可以创建最大值
Refill coupon created successfully!,补充优惠券创建成功！
Currency Added Successfully!,货币成功增加！
Currency Removed Successfully!,货币成功删除！
Backup Exported Successfully!,备份导出成功！
An error occur when the system tried to backup of the database. Please check yours system settings for the backup section,系统尝试备份数据库时发生错误。请检查您的备份部分的系统设置
Database Restore successfully.,数据库恢复成功。
File not exists!,文件不存在！
There is a some issue or invalid file format.,存在一些问题或无效的文件格式。
Database backup deleted successfully.,数据库备份已成功删除
Languages updated successfully!,语言已成功更新！
Languages removed successfully!,语言已成功删除！
Languages added successfully!,语言添加成功！
Translation updated successfully!,翻译更新成功！
Translation added successfully!,翻译成功添加！
Update Languages,更新语言
Speed Dial,快速拨号
Payment,付款
Method,方法
"Once you confirm the invoice, you will no longer able to update it again.",确认发票后，您将无法再次更新。
Payment Gateway Permission,支付网关许可
Zip Code,邮政编码
Yes,是
Back,背部
Edit Reseller,修改经销商
Asignar DID a granel,Asignar DID是一个granel
DIDs Search,DID搜索
By Month,按月
Create Gateway,创建网关
Calling Card Language,电话卡语言
Last,持续
Pay Date,付款日期
Purchase DID,购买DID
Caller-ID-A-Form,主叫用户ID-A型
Expire Seconds,过期秒数
Termination Date,终止日期
Registration Date,登记日期
Payment By,付款方式
Product Status,产品状态
Minute,分钟
Hour,小时
Day,天
Month,月
Year,年
List,名单
Edit,编辑
Not Avaialable any Subscription.,任何订阅都不是Avaialable。
Not Avaialable any Package for this Country.,不适用于此国家/地区的任何套餐。
You can only transfer fund in same level account.,您只能在同级账户中转账。
You can not transfer fund in same account.,您不能在同一账户中转账。
Monthly Fee,月租费
Bulk DID Assign,批量DID分配
Invoice Start From,发票开始
Edit Gateway,编辑网关
Number Of Default Rows,默认行数
Mobile Dialer,移动拨号器
Trunk Count,树干计数
Welcome File,欢迎文件
Local Call Timeout (Sec.),本地呼叫超时（秒）
Rate check for DID,对DID进行费率检查
DID Localization,DID本地化
Voicemail Number,语音信箱号码
OTP Expire Time(min),OTP过期时间（分钟）
Edit Provider,编辑提供商
Product Summary Reports,产品摘要报告
Edit Origination Rate,编辑始发率
Dialplan Variable,拨号方案变量
Uninstall,卸载
Call Stat,致电统计
Failed Calls,电话失败
Top 10 Countries,十大国家
By Minutes,分钟
By Calls,通过电话
Telephone number is only numeric,电话号码只是数字
Please enter valid Captcha code,请输入有效的验证码
Please contact to administrator,请联系管理员
Requested email is already exist,请求的电子邮件已存在
Requested number is already exist,请求的号码已经存在
Please enter correct words!,请输入正确的单词！
THIS IS REQUIRED!,这是必需的！
Your account has been deleted. Please contact administrator for more information.,您的帐户已被删除。请联系管理员了解更多信息。
Your account is inactive. Please contact administrator for more information.,您的帐户无效。请联系管理员了解更多信息。
Please enter proper Email.,请输入正确的电邮。
Please enter proper Username.,请输入正确的用户名。
This Username or Email is not valid.,此用户名或电子邮件无效。
ASTPP - A Smart TelePhony Platform,ASTPP - 智能TelePhony平台
Forgot Password,忘记密码
ASTPP work best with JavaScript enabled,ASTPP在启用JavaScript时效果最佳
Enter Your Password,输入您的密码
Confirm Password,确认密码
The Email field is Required,电子邮件字段是必填项
The Account Number field is Required,“帐号”字段为必填项
Set Default Language,设置默认语言
Please Re-login to get Impact of selected language.,请重新登录以获得所选语言的影响力。
Default Language,默认语言
Signup now!,立即注册！
Forgot Password?,忘记密码？
Sign in,登入
Username OR Email,用户名或电子邮件
Username is Required,用户名是必需的
Password is Required,密码是必需的
"Please Check Your account is deleted or inactive from admin side, please contact to your administrator",请检查您的帐户是否已从管理员端删除或处于非活动状态，请与您的管理员联系
Please do not use default or less secure password for your account!! You must change password from,请不要为您的帐户使用默认密码或不太安全的密码！您必须从中更改密码
HERE,这里
"Login unsuccessful. Please make sure you entered the correct username and password, and that your account is active",登录失败。请确保您输入了正确的用户名和密码，并确保您的帐户有效
Please enter Username/email and Password.,请输入用户名/电子邮件和密码。
Payment transaction invalid. Please contact Administrator.,付款交易无效。请联系管理员。
Log In,登录
Please Enter Password,请输入密码
"Password must be at least 8 characters and must contain at least one lower case letter, one upper case letter and one digit",密码必须至少为8个字符，且必须至少包含一个小写字母，一个大写字母和一个数字
Please Enter Confirm Password,请输入确认密码
Confirm Password is not match,确认密码不匹配
We sent update password link.,我们发送了更新密码链接。
Please check your Email!,请检查您的电子邮件！
Login,登录
OTP Verification,OTP验证
OTP Number is Required,OTP号码是必需的
Your account created successfully and account details sent to your registered email address,您的帐户已成功创建，帐户详细信息已发送到您的注册电子邮
Your password change successfully and new password sent to your registered email address,您的密码更改成功，并将新密码发送到您注册的电子邮件地址
OTP Number is Wrong Please try again Or OTP expire Please Resend,OTP号码错误请再试一次或OTP到期请重新发送
OTP has been sent on your email or Telephone number,OTP已通过您的电子邮件或电话号码发送
OTP,OTP
Resend OTP,重新发送OTP
OTP Sent time Out,OTP发送超时
Not Get OTP ?,没有获得OTP？
Note:,注意：
Please make sure do not refresh the page or don't go back,请确保不刷新页面或不回去
"Login unsuccessful. Please make sure you entered the correct username and password, and that your account is active.",登录失败。请确保您输入了正确的用户名和密码，并确保您的帐户有效。
Your account has been created successfully!,您的帐户已成功创建！
Here is your login information,这是您的登录信息
Link is Expire Please Try Again,链接已过期请再试一次
"Sorry, we cannot process for singup at this time.",对不起，我们目前无法处理单身。
Please contact administrator for more information,请联系管理员了解更多信息
Successful!,成功了！
Captcha is required,验证码是必需的
First Name is Required,名字是必需的
Telephone is Required,电话是必需的
Email is Required,电子邮件是必填项
Please enter a valid email address,请输入有效的电子邮件地址
"Please make sure you entered the correct username and password, and that your account is active.",请确保您输入了正确的用户名和密码，并确保您的帐户有效。
Company Name,公司名
Enter above Captcha,输入上面的Captcha
Sign up,注册
Already Registered !,已经登记了 ！
January,一月
February,二月
March,游行
April,四月
May,可以
June,六月
July,七月
August,八月
September,九月
October,十月
November,十一月
December,十二月
Doesn't Contain,不包含
Greater Than,比...更棒
Less Than,少于
Greater Or Equal Than,大于或等于
Less Or Equal Than,少于或等于
Set To,调成
Increase By,通过增加
Decrease By,减少
Community,社区
You must either select a field from your file OR provide a default value for the following fields:,您必须从文件中选择一个字段，或者为以下字段提供默认值：
Note : Records with duplicate account number and email will be ignored.,注意：具有重复帐号和电子邮件的记录将被忽略。
Map CSV to Customers,将CSV映射到客户
Account Information,帐户信息
Select Account,选择帐户
DEFAULT VALUE,默认值
SIP Username,SIP用户名
sip_username,sip_username
SIP Password,SIP密码
Same as Password,与密码相同
Same as Account Number,与帐号相同
Random,随机
Import File Data.,导入文件数据。
Process Records,流程记录
Note : Duplicate accounts with account number / email are ignored.,注意：将忽略具有帐号/电子邮件的重复帐户。
Remove,去掉
Number of Account,账户数量
Account Number Length,帐号长度
"DID (CLI Match, If not matched then use random allocated DID)",DID（CLI匹配，如果不匹配则使用随机分配的DID）
"Caller Id (CLI Match, If not matched then use random allocated Caller Id)",来电显示（CLI匹配，如果不匹配，则使用随机分配的来电显示）
Use NON-CLI Rate Group (If CLI not match with DID),使用非CLI速率组（如果CLI与DID不匹配）
Use NON-CLI Rate Group (If CLI not match with Caller ID),使用非CLI速率组（如果CLI与来电显示不匹配）
Use NON-CLI Rate Group (If CLI not match with DID & Caller id),使用非CLI速率组（如果CLI与DID和来电显示不匹配）
Reject Call (If CLI not match with DID),拒绝呼叫（如果CLI与DID不匹配）
Reject Call (If CLI not match with Caller ID),拒绝呼叫（如果CLI与来电显示不匹配）
Reject Call (If CLI not match with DID & Caller id),拒绝呼叫（如果CLI与DID和来电显示不匹配）
--Select--,- 选择 -
Test Mail,测试邮件
Reset Password,重设密码
AFGHANISTAN,阿富汗
ALBANIA,阿尔巴尼亚
ALGERIA,阿尔及利亚
AMERICAN SAMOA,美国萨摩亚
ANDORRA,安道尔
ANGOLA,安哥拉
ANGUILLA,安圭拉
ANTIGUA & BARBUDA,ANTIGUA和BARBUDA
ARGENTINA,阿根廷
ARMENIA,亚美尼亚
ARUBA,ARUBA
AUSTRALIA,澳大利亚
AUSTRIA,奥地利
AZERBAIJAN,阿塞拜疆
BAHAMAS,巴哈马
BAHRAIN,巴林
BANGLADESH,孟加拉国
BARBADOS,巴巴多斯
BELARUS,白俄罗斯
BELGIUM,比利时
BELIZE,伯利兹
BENIN,贝宁
BERMUDA,百慕大
BHUTAN,不丹
BOLIVIA,玻利维亚
BOSNIA AND HERZEGOVINA,波斯尼亚和黑塞哥维那
BOTSWANA,博茨瓦纳
BRAZIL,巴西
BRITISH VIRGIN ISLANDS,英属维尔京群岛
BRUNEI,文莱
BULGARIA,保加利亚
BURKINA FASO,BURKINA FASO
BURUNDI,布隆迪
CAMBODIA,柬埔寨
CAMEROON,喀麦隆
CANADA,加拿大
CAPE VERDE,CAPE VERDE
CAYMAN ISLANDS,开曼群岛
CENTRAL AFRICAN REPUBLIC,中非共和国
CHAD,CHAD
CHILE,智利
CHINA,中国
COLOMBIA,哥伦比亚
COMOROS,科摩罗
CONGO,刚果
COSTA RICA,哥斯达黎加
CROATIA,克罗地亚
CUBA,CUBA
CYPRUS,塞浦路斯
CZECH REPUBLIC,捷克共和国
DEMOCRATIC REPUBLIC,民主共和国
DENMARK,丹麦
DJIBOUTI,吉布提
DOMINICA,DOMINICA
DOMINICAN REPUBLIC,多明尼加共和国
ECUADOR,厄瓜多尔
EGYPT,埃及
EL SALVADOR,萨尔瓦多
EQUATORIAL GUINEA,赤道几内亚
ERITREA,厄立特里亚
ERITREA,厄立特里亚
ETHIOPIA,埃塞俄比亚
FAEROE ISLANDS,FAEROE ISLANDS
FIJI ISLANDS,斐济群岛
FINLAND,芬兰
FRANCE,法国
FRENCH GUIANA,法属圭亚那
FRENCH POLYNESIA,法国波利尼西亚
GABON,加蓬
GAMBIA,冈比亚
GEORGIA,GEORGIA
GERMANY,德国
GHANA,加纳
GIBRALTAR,直布罗陀
GREECE,希腊
GRENADA,格林纳达
GUADELOUPE,瓜德罗普
GUAM,关岛
GUATEMALA,危地马拉
GUINEA,几内亚
GUINEA BISSAU,几内亚比绍
GUYANA,圭亚那
HAITI,海地
HONDURAS,洪都拉斯
HONG KONG,香港
HUNGARY,匈牙利
ICELAND,冰岛
INDIA,印度
INDONESIA,印度尼西亚
IRAN,伊朗
IRAQ,伊拉克
IRELAND,爱尔兰
ISRAEL,以色列
ITALY,意大利
IVORY COAST,象牙海岸
JAMAICA,牙买加
JAPAN,日本
JORDAN,约旦
KAZAKHSTAN,哈萨克斯坦
KENYA,肯尼亚
KOSOVO,科索沃
KUWAIT,科威特
KYRGYZSTAN,吉尔吉斯斯坦
LAOS,老挝
LATVIA,拉脱维亚
LEBANON,黎巴嫩
LESOTHO,莱索托
LIBERIA,利比里亚
LIBYA,利比亚
LIECHTENSTEIN,列支敦士登
LITHUANIA,立陶宛
LUXEMBOURG,卢森堡
MACAU,澳门
MACEDONIA,马其顿
MADAGASCAR,马达加斯加
MALAWI,马拉维
MALAYSIA,马来西亚
MALI,马里
MALTA,马耳他
MARSHALL ISLANDS,马绍尔群岛
MARTINIQUE,马提尼克岛
MAURITANIA,毛里塔尼亚
MAURITIUS,毛里求斯
MEXICO,墨西哥
MICRONESIA,密克罗尼西亚
MOLDOVA,摩尔多瓦
MONACO,MONACO
MONGOLIA,蒙古
MONTENEGRO,黑山
MONTSERRAT,MONTSERRAT
MOROCCO,摩洛哥
MOZAMBIQUE,莫桑比克
MYANMAR,缅甸
NAMIBIA,纳米比亚
NEPAL,尼泊尔
NETHERLANDS,荷兰
NEW CALEDONIA,新CALEDONIA
NEW ZEALAND,新西兰
NICARAGUA,尼加拉瓜
NIGER,尼日尔
NIGERIA,尼日利亚
NO. MARIANA ISLANDS,没有。玛丽安娜群岛
NORTH KOREA,北朝鲜
NORWAY,挪威
OMAN,阿曼
PAKISTAN,巴基斯坦
PALAU,帛琉
PANAMA,巴拿马
PARAGUAY,巴拉圭
PERU,秘鲁
PHILIPPINES,菲律宾
POLAND,波兰
PORTUGAL,葡萄牙
PUERTO RICO,PUERTO RICO
QATAR,卡塔尔
REUNION ISLAND,REUNION ISLAND
ROMANIA,罗马尼亚
RUSSIAN FEDERATION,俄罗斯联邦
RWANDA,卢旺达
SAN MARINO,圣马力诺
SAUDI ARABIA,沙特阿拉伯
SENEGAL,塞内加尔
SERBIA,塞尔维亚
SEYCHELLES ISLANDS,塞舌尔群岛
SIERRA LEONE,塞拉利昂
SINGAPORE,新加坡
SLOVAKIA,斯洛伐克
SLOVENIA,斯洛文尼亚
SOMALIA,索马里
SOUTH AFRICA,南非
SOUTH KOREA,韩国
SOUTH SUDAN,南苏丹
SPAIN,西班牙
SRI LANKA,斯里兰卡
ST. KITTS,ST。圣基茨
ST. LUCIA,ST。LUCIA
ST. MARTIN,ST。MARTIN
ST. PIERRE & MIQUELON,ST。PIERRE＆MIQUELON
ST. VINCENT,ST。VINCENT
SUDAN,苏丹
SURINAME,苏里南
SWAZILAND,斯威士兰
SWEDEN,瑞典
SWITZERLAND,瑞士
SYRIA,叙利亚
TAIWAN,台湾
TAJIKISTAN,塔吉克斯坦
TANZANIA,坦桑尼亚
THAILAND,泰国
TRINIDAD & TOBAGO,特立尼达和多巴哥
TUNISIA,突尼斯
TURKEY,火鸡
TURKMENISTAN,土库曼斯坦
TURKS & CAICOS ISLANDS,TURKS和CAICOS ISLANDS
UGANDA,乌干达
UKRAINE,乌克兰
UNITED ARAB EMIRATES,阿拉伯联合酋长国
UNITED KINGDOM,英国
URUGUAY,乌拉圭
US VIRGIN ISLANDS,美国维尔京群岛
United States,美国
UZBEKISTAN,乌兹别克斯坦
VENEZUELA,委内瑞拉
VIETNAM,越南
YEMEN,也门
ZAMBIA,赞比亚
ZIMBABWE,津巴布韦
ASCENSION,ASCENSION
COOK ISLANDS,库克群岛
EAST TIMOR,东帝汶
FALKLAND ISLANDS,福克兰群岛
GREENLAND,格陵兰
KIRIBATI,基里巴斯
MALDIVES,马尔代夫
NAURU,瑙鲁
Albanian Lek,阿尔巴尼亚列克
Algerian Dinar,阿尔及利亚第纳尔
Aluminium Ounces,铝盎司
Argentine Peso,阿根廷比索
Aruba Florin,阿鲁巴弗罗林
Australian Dollar,澳元
Bahamian Dollar,巴哈马元
Bahraini Dinar,巴林第纳尔
Bangladesh Taka,孟加拉国塔卡
Barbados Dollar,巴巴多斯元
Belarus Ruble,白俄罗斯卢布
Belize Dollar,伯利兹元
Bermuda Dollar,百慕大元
Bhutan Ngultrum,不丹Ngultrum
Bolivian Boliviano,玻利维亚玻利维亚诺
Brazilian Real,巴西雷亚尔
British Pound,英镑
Brunei Dollar,文莱元
Bulgarian Lev,保加利亚列弗
Burundi Franc,布隆迪法郎
Cambodia Riel,柬埔寨瑞尔
Canadian Dollar,加元
Cayman Islands Dollar,开曼群岛元
CFA Franc (BCEAO),CFA法郎（BCEAO）
CFA Franc (BEAC),CFA法郎（BEAC）
Chilean Peso,智利比索
Chinese Yuan,中国元
Colombian Peso,哥伦比亚比索
Comoros Franc,科摩罗法郎
Copper Ounces,铜盎司
Costa Rica Colon,哥斯达黎加科隆
Croatian Kuna,克罗地亚库纳
Cuban Peso,古巴比索
Cyprus Pound,塞浦路斯镑
Czech Koruna,捷克克朗
Danish Krone,丹麦克朗
Dijibouti Franc,Dijibouti Franc
Dominican Peso,多米尼加比索
East Caribbean Dollar,东加勒比元
Ecuador Sucre,厄瓜多尔苏克雷
Egyptian Pound,埃及镑
El Salvador Colon,萨尔瓦多科隆
Eritrea Nakfa,厄立特里亚纳克法
Estonian Kroon,爱沙尼亚克朗
Ethiopian Birr,埃塞俄比亚比尔
Euro,欧元
Falkland Islands Pound,福克兰群岛磅
Gambian Dalasi,冈比亚达拉西
Ghanian Cedi,Ghanian Cedi
Gibraltar Pound,直布罗陀庞德
Gold Ounces,金盎司
Guatemala Quetzal,危地马拉格查尔
Guinea Franc,几内亚法郎
Haiti Gourde,海地古德
Honduras Lempira,洪都拉斯伦皮拉
Hong Kong Dollar,港币
Hungarian ForINT,匈牙利福林
Iceland Krona,冰岛克朗
Indian Rupee,印度卢比
Indonesian Rupiah,印尼盾
Iran Rial,伊朗里亚尔
Israeli Shekel,以色列谢克尔
Jamaican Dollar,牙买加元
Japanese Yen,日圆
Jordanian Dinar,约旦第纳尔
Kazakhstan Tenge,哈萨克斯坦坚戈
Kenyan Shilling,肯尼亚先令
Korean Won,韩元
Kuwaiti Dinar,科威特第纳尔
Lao Kip,老基普
Latvian Lat,拉脱维亚拉特
Lebanese Pound,黎巴嫩镑
Lesotho Loti,莱索托洛蒂
Libyan Dinar,利比亚第纳尔
Lithuanian Lita,立陶宛丽塔
Macau Pataca,澳门帕塔卡
Macedonian Denar,马其顿Denar
Malagasy Franc,马达加斯加法郎
Malawi Kwacha,马拉维克瓦查
Malaysian Ringgit,马来西亚林吉特
Maldives Rufiyaa,马尔代夫Rufiyaa
Maltese Lira,马耳他里拉
Mauritania Ougulya,毛里塔尼亚Ougulya
Mauritius Rupee,毛里求斯卢比
Mexican Peso,墨西哥比索
Moldovan Leu,摩尔多瓦列伊
Mongolian Tugrik,蒙古图格里克
Moroccan Dirham,摩洛哥迪拉姆
Mozambique Metical,莫桑比克Metical
Namibian Dollar,纳米比亚元
Nepalese Rupee,尼泊尔卢比
Neth Antilles Guilder,Neth Antilles Guilder
New Turkish Lira,新土耳其里拉
New Zealand Dollar,新西兰元
Nicaragua Cordoba,尼加拉瓜科多巴
Nigerian Naira,尼日利亚奈拉
Norwegian Krone,挪威克朗
Omani Rial,阿曼里亚尔
Pacific Franc,太平洋法郎
Pakistani Rupee,巴基斯坦卢比
Palladium Ounces,钯盎司
Panama Balboa,巴拿马巴尔博亚
Papua New Guinea Kina,巴布亚新几内亚基纳
Paraguayan Guarani,巴拉圭瓜拉尼
Peruvian Nuevo Sol,秘鲁Nuevo Sol
Philippine Peso,菲律宾比索
Platinum Ounces,白金盎司
Polish Zloty,波兰兹罗提
Qatar Rial,卡塔尔里亚尔
Romanian Leu,罗马尼亚列伊
Romanian New Leu,罗马尼亚新列伊
Russian Rouble,俄罗斯卢布
Rwanda Franc,卢旺达法郎
Samoa Tala,萨摩亚塔拉
Sao Tome Dobra,圣多美多布拉
Saudi Arabian Riyal,沙特阿拉伯里亚尔
Seychelles Rupee,塞舌尔卢比
Sierra Leone Leone,塞拉利昂利昂
Silver Ounces,银盎司
Singapore Dollar,新加坡元
Slovak Koruna,斯洛伐克克朗
Slovenian Tolar,斯洛文尼亚语Tolar
Somali Shilling,索马里先令
South African Rand,南非兰特
Sri Lanka Rupee,斯里兰卡卢比
St Helena Pound,圣赫勒拿磅
Sudanese Dinar,苏丹第纳尔
Surinam Guilder,苏里南盾
Swaziland Lilageni,斯威士兰Lilageni
Swedish Krona,瑞典克朗
Swiss Franc,瑞士法郎
Syrian Pound,叙利亚镑
Taiwan Dollar,台币
Tanzanian Shilling,坦桑尼亚先令
Thai Baht,泰铢
Tonga Paanga,汤加潘加
Trinidad&Tobago Dollar,特立尼达和多巴哥元
Tunisian Dinar,突尼斯第纳尔
U.S. Dollar,美元
UAE Dirham,阿联酋迪拉姆
Ugandan Shilling,乌干达先令
Ukraine Hryvnia,乌克兰格里夫纳
Uruguayan New Peso,乌拉圭新比索
Vanuatu Vatu,瓦努阿图瓦图
Venezuelan Bolivar,委内瑞拉玻利瓦尔
Vietnam Dong,越南董
Yemen Riyal,也门里亚尔
Zambian Kwacha,赞比亚克瓦查
Zimbabwe Dollar,津巴布韦元
Guyana Dollar,圭亚那元
Aruban florin,阿鲁巴弗罗林
Armenian dram,亚美尼亚德拉姆
Azerbaijani manat,阿塞拜疆马纳特
Barbadian dollar,巴巴多斯元
Bosnian Convertible Marka,波斯尼亚可转换马卡
Botswana pula,博茨瓦纳普拉
Cape Verdean escudo,佛得角埃斯库多
Congolese franc,刚果法郎
Fijian Dollar,斐济元
CFP franc,CFP法郎
Georgian lari,格鲁吉亚拉里
Iraqi dinar,伊拉克第纳尔
Kyrgyzstani som,吉尔吉斯斯坦索姆
Liberian dollar,利比里亚元
Malagasy ariary,马达加斯加的ariary
Burmese Kyat,缅甸缅元
North Korean won,朝鲜获胜
nuevo sol,新溶胶
Serbian dinar,塞尔维亚第纳尔
South Korean won,韩国人赢了
South Sudanese pound,南苏丹镑
Sudanese pound,苏丹镑
Surinamese dollar,苏里南元
Tajikistani samani,塔吉克斯坦萨马尼
Turkish lira,土耳其里拉
Turkmenistan manat,土库曼斯坦马纳特
Pound sterling,英镑
Uzbekistani soʻm,乌兹别克斯坦，所以
Saint Helena pound,圣赫勒拿磅
Indian Rupees,印度卢比
CLI Pool,CLI池
Download,下载
TRUE,真正
FALSE,假
--Select Type--,- 选择类型 -
One Time,一度
Recurring,定期
Recurring Monthly,每月重复一次
Outbound,出站
Default,默认
Speed Dial Number Added Successfully,快速拨号已成功添加
"Are you sure want to confirm this invoice ? once you confirm it, can not able to edit invoice again.",您确定要确认此发票吗？一旦确认，就无法再次编辑发票。
DIDs already purchased by someone.,已经由某人购买的DID。
DIDs Assigned sucessfully!,DIDs分配成功！
Something wrong.Please contact to administrator.,有问题。请联系管理员。
Duplicate DID found from database,从数据库中找到重复的DID
Account have not sufficient amount to purchase this DID.,帐户没有足够的金额购买此DID。
Account not found or assign to invalid account,帐户未找到或分配给无效帐户
Duplicate DID found from import file.,从导入文件中找到重复的DID。
DIDs Imported Successfully!,DID导入成功！
Insuffiecient fund to purchase this DID.,Insuffiecient基金购买这个DID。
Balance Below Notification,平衡低于通知
Edit SIP device,编辑SIP设备
Note : Page will display only receipts and confirmed invoices.,注意：页面仅显示收据和已确认的发票。
Termination Rate Updated Successfully!,终止费率已成功更新！
Import Termination Rates Using Field Mapper,使用Field Mapper导入终止率
Edit Roles & Permissions,编辑角色和权限
Create Roles & Permissions,创建角色和权限
Edit Admin,编辑管理员
Pin Updated Successfully!.,Pin已成功更新！
Create Termination Rate,创建终止费率
Edit Company Profile,编辑公司资料
Website,网站
Generate Invoice for no usage,生成发票，不使用
Commission Repots,委员会报告
Top Up,充值
Purchase DIDs,购买DID
Package,包
Setup,建立
DID Purchased Successfully.,DID已成功购买。
release,发布
DID Batch Updated Successfully!,DID批量更新成功！
DID forwading set sucessfully!,DID转发设置成功！
Are you sure want to release DID?,你确定要发布DID吗？
Please select atleast one record,请选择至少一条记录
Account Balance,账户余额
Next Bill Date,下一个比尔日期
TOTAL AMOUNT,总金额
Invoice,发票
IP Address,IP地址
Terminate,终止
Seconds,秒
Recording,记录
Rates,价格
Paid,付费
No Records,没有记录
Please select from date,请从日期中选择
Please select to date,请选择日期
Please select to date bigger than from date,请选择比日期更大的日期
Confirm,确认
Edit Country,编辑国家
Skip Header,跳过标题
Origination_rate_error,Origination_rate_error
Termination_rate_error,Termination_rate_error
Termination_Rates,Termination_Rates
Origination_Rates,Origination_Rates
refill_coupon,refill_coupon
Edit Reseller,修改经销商
Edit Calltype,编辑Calltype
updated successfully!,更新成功！
added successfully!,添加成功！
Invoice generation completed .,发票生成已完成。
NOTE,注意
No data found.,没有找到数据。
Added successfully!,添加成功！
DID added successfully!,DID添加成功！
DID updated successfully!,DID已成功更新！
File must be in the following format(.csv):,文件必须采用以下格式（.csv）：
Process,处理
DID Import Error,DID导入错误
Records Imported Successfully,记录导入成功
Records Not Imported,记录未导入
Back to DID List,返回DID列表
DID Batch Updated Successfully!,DID批量更新成功！
Accessnumber Added Successfully!,Accessnumber成功添加！
Process,处理
Accessnumber Import Error,访问编号导入错误
DIDs Assigned sucessfully!,DIDs分配成功！
Origination Rates Preview,起始率预览
Origination Rates Import Error,起始率导入错误
Back to Origination Rates List,回到起源价格表
Origination Rates Batch Updated Successfully!,发票率批量更新成功！
Import Ratedeck Preview,导入Ratedeck预览
CALLTYPE,CALLTYPE
Edit Calltype,编辑Calltype
Outbound-Proxy,出站代理
Edit Trunk,编辑中继线
Termination Rate Added Successfully!,终止率成功增加！
Edit Termination Rate,编辑终止率
Termination Rates Import Error,终止率导入错误
Termination Rates Imported Successfully!,终止价格成功进口！
Back to Origination Rates List,回到起源价格表
Select,选择
pattern,图案
comment,评论
connectcost,connectcost
includedseconds,includedseconds
init_inc,init_inc
inc,INC
prepend,前置
cost ,成本
strip,跳闸
DID added successfully!,DID添加成功！
DID updated successfully!,DID已成功更新！
Country Name,国家的名字
PAID,支付
PENDING,PENDING
FAIL,失败
ORDER,订购
payment method,付款方法
Terminate Order,终止订单
Compose Email,写邮件
Message,信息
Send,发送
SIP Port is Required.,SIP端口是必需的。
Start,开始
SIP Port is Required.,SIP端口是必需的。
SIP IP is Required.,SIP IP是必需的。
Name is Required.,名称是必需的。
The SIP Port field is Required.,SIP端口字段是必需的。
The SIP Port field must contain only numbers.,SIP端口字段必须仅包含数字。
The SIP Port field can not exceed 5 characters in length.,SIP端口字段的长度不能超过5个字符。
Value is Required.,价值是必需的。
Value,值
Update Setting,更新设置
Add Setting,添加设置
Edit Freeswitch Server,编辑Freeswitch服务器
CUT,切
ADD,加
Edit Localization,编辑本地化
Callbarring Settings Added Successfully!,Callbarring设置已成功添加！
Edit Call Barring,编辑呼叫限制
Callbarring Settings Updated Successfully!,Callbarring设置已成功更新！
The Name field is required.,名字的字段是必需的。
Please select file.,请选择文件。
Database import allows only gzfile types of file.,数据库导入仅允许gzfile类型的文件。
File must be in (.gz) format :,文件必须是（.gz）格式：
The Coupon Number field must contain only numbers.,优惠券号码字段必须仅包含数字。
The Coupon Number field have inactive refill coupon.,优惠券号码字段具有非活动的补充优惠券。
This Coupon Number is already in use.,此优惠券号码已在使用中。
This Coupon Number is not found.,未找到此优惠券号码。
The Coupon Number field is required.,优惠券号码字段是必填项。
Select Customer.,选择客户。
Please enter your email,请输入您的电子邮件
Please enter proper email,请输入正确的电邮
The Caller ID field is required.,来电显示字段是必需的。
Please enter your password,请输入您的密码
Please enter your first name,请输入您的名字
Please enter your email,请输入您的电子邮件
This field is require,这个字段是必需的
The IP field must contain a unique value.,IP字段必须包含唯一值。
The Name field is required.,名字的字段是必需的。
The IP field is required.,IP字段是必需的。
Please Enter Valid Account Number,请输入有效帐号
Main,主要
--Select Disposition--,- 选择处置 -
Group By #time,分组#time
Active User,活跃用户
Used Minutes,使用的分钟数
Available Minutes,可用会议纪要
Total Price,总价
Total User,总用户数
Resend Mail,重发邮件
Restore,恢复
View Details,查看详情
Other,其他
Edit Tax,编辑税
Edit Country,编辑国家
Download Database,下载数据库
Import Database,导入数据库
File must be in (.gz) format,文件必须是（.gz）格式
 Please select file.,请选择文件。
Please enter name and select file.,请输入名称并选择文件。
Edit Cron Settings,编辑Cron设置
Global Settings updated sucessfully!,全局设置成功更新！
Alert Notifications,警报通知
Fraud Configuration,欺诈配置
Configuration add,配置添加
Alarm Configuration,报警配置
Please select atleast one pattern.,请选择至少一种模式。
Problem In Add Patterns to account.,问题在添加模式帐户。
Blocked Codes,被阻止的代码
The IP field must contain a unique value.,IP字段必须包含唯一值。
The IP field is required.,IP字段是必需的。
